id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
12563,11506,Analogic,"""A space race through the numeric maze of a computer charted galaxy! A fascinating electronic addition game for all ages"" 
 
A strange small logic game where each player must reach other player's planet first. The player from the planet ODD tries to reach the planet EVEN before the player from the planet EVEN reaches the planet ODD. 
 
The movement principle is as follows: the EVEN player may move only to a square whose number combines with ODD's last move to total to an even number. ODD may move to a square whose number totals to an ODD figure when combined with EVEN's last move...",1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9924,7582,Baseball,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71809,11533,Cat and Mouse,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25236,109451,Dogfight!,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1654,11497,Empire,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7600,11547,Football,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
122044,18360,Fun Zoo,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
118954,18391,Handball,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
62919,11517,Haunted House,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69628,11534,Hockey,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
48996,109448,Invasion,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1084,18203,Killer Shark,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9925,18392,Percepts,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22521,40401,Play Ball,NULL,1972-06-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
183570,1333,Pong,NULL,1972-11-29 00:00:00.000,19,NULL,NULL,NULL,75.7168,79
72100,109452,Prehistoric Safari,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9948,11521,Roulette,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106151,28363,Shooting Gallery,NULL,1972-09-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
56886,109450,Shootout!,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69132,11505,Simon Says,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
60286,11532,Ski,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9913,11531,States,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20966,11520,Submarine,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
132365,11500,Table Tennis,NULL,1972-09-01 00:00:00.000,NULL,NULL,79.0000,1,NULL,NULL
73971,11535,Tennis,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2014,109446,Volleyball,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
56713,109445,Wipeout,NULL,1972-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
